-36.5,-36.5,-36.5,-36.0,-43.333333333333336,-47.25,-47.25,-46.5,-43.0,-42.0
-37.0,-42.0,-43.333333333333336,-36.5,-36.5,-38.0,-36.0,-36.0,-36.0,-36.0
-36.5,-35.5,-35.5,-36.0,-35.5,-36.0,-35.0,-36.0,-47.25,-45.75
-43.666666666666664,-48.0,-36.0,-44.333333333333336,-55.25,-47.0,-45.0,-44.333333333333336,-48.5,-43.0
-52.75,-47.0,-47.5,-47.25,-47.25,-47.5,-43.666666666666664,-47.0,-42.0,-35.5
-36.0,-36.0,-36.5,-41.666666666666664,-36.0,-51.333333333333336,-36.0,-36.5,-36.5,-36.5
-36.5,-36.5,-50.25,-35.5,-36.0,-36.0,-36.0,-37.0,-35.5,-36.0
-35.5,-35.5,-44.5,-36.5,-36.5,-36.0,-36.5,-36.5,-36.5,-36.0
-36.5,-36.0,-42.333333333333336,-45.5,-36.0,-36.0,-36.0,-35.0,-36.0,-35.0
-45.75,-36.5,-48.25,-36.0,-35.5,-36.5,-36.0,-36.0,-36.5,-36.5
